area,bedrooms,bathrooms,floors,parking,age,location_score,price
3032,4,1,3,3,4,4,19804560.19407606
899,2,3,1,2,18,9,9257677.312058434
3764,1,3,3,0,3,7,23715525.438953612
1942,2,3,1,3,15,6,13563513.050341405
1759,1,3,2,3,10,1,11144217.341009919
1646,5,3,3,2,26,6,13559928.7520331
1154,4,2,2,2,24,10,12080921.926308293
733,5,4,3,0,11,4,8920500.446308907
1519,1,3,2,1,0,9,13716209.049002763
587,4,2,1,2,22,9,9085640.277763717
2570,3,4,1,3,0,9,19221121.128203694
856,4,4,2,2,0,2,8676471.012452258
1965,4,1,3,0,9,3,13132440.041286485
3918,1,3,2,3,2,7,25050877.3953735
3883,2,2,3,2,26,2,21226288.310063973
1379,5,3,3,1,20,4,11622806.231617073
869,5,2,2,2,28,8,9526393.438143525
3212,4,3,1,1,8,5,20728429.357995402
3712,2,1,2,2,28,7,22480020.518516265
3254,4,2,2,0,9,9,22307634.2396897
754,1,3,2,2,9,9,9002049.327409366
2847,1,1,1,0,21,2,15474807.262510683
3583,4,3,2,1,20,3,21780441.91024505
3426,1,3,3,1,16,5,19888981.201099552
2628,4,1,3,0,27,7,17715051.48280925
1257,3,2,3,0,8,3,10285461.8065465
2266,3,2,3,1,2,9,17706968.6990823
1429,3,2,3,2,16,5,10873292.232227072
3326,3,4,1,2,1,1,20653376.067775123
2835,2,4,1,3,5,8,20222814.446376972
2704,1,4,3,0,21,8,18481763.53098387
1177,2,4,2,0,11,9,12217588.605383266
2025,5,2,2,1,22,5,14492790.764959771
3990,5,2,2,0,22,4,23385408.38175704
3216,4,4,2,1,2,1,20771806.520579964
1613,3,3,3,3,4,1,12614807.110051561
569,3,3,2,3,5,4,6889819.378811428
1462,3,1,3,1,7,10,14757080.247959256
1086,2,1,3,3,0,1,7338516.789448664
3637,2,1,1,2,19,7,21894244.85827797
772,3,3,1,2,12,9,8901965.750360131
3329,3,2,2,0,24,9,21936063.227632966
1288,4,4,2,1,14,8,12785157.594626455
1510,2,1,3,3,29,2,9863432.915792735
3488,3,1,1,3,21,4,20642674.3069384
2068,5,3,3,3,5,6,17306826.867094383
2065,2,3,3,2,3,5,15125512.058687458
2026,2,2,3,0,12,8,14793885.487724809
3154,4,1,1,3,23,4,19790278.22743115
1987,4,1,3,0,16,4,12636394.893264903
3028,2,2,2,2,22,4,17380814.482672937
2437,5,4,3,3,13,9,19928478.483281415
1189,5,2,2,3,2,8,12485500.613566717
3409,4,3,3,3,3,3,21387910.3619501
2919,5,3,1,1,25,4,19077601.13330642
2562,1,3,3,2,10,7,18255992.03831836
3154,1,1,2,2,23,2,17319336.17822654
2573,1,1,1,3,13,2,13543774.146602139
3242,3,1,1,3,10,3,20434539.06848021
2833,3,2,2,0,14,6,18726620.901931968
3838,4,1,3,1,12,1,22137275.707011435
710,1,4,1,1,18,8,6930690.743485536
2451,2,2,3,0,8,4,14841572.274990354
3347,1,3,3,1,23,6,19943064.98432278
1191,3,1,2,1,26,9,10057909.687633779
2220,1,4,2,0,15,2,13350726.790666085
2476,2,3,2,1,20,1,14010598.13607008
3959,2,2,2,0,17,7,24068222.225858644
918,5,3,2,1,0,9,12806914.507098366
1556,5,3,1,3,9,8,14429228.168749232
2359,4,3,1,3,6,6,16931011.784994382
2724,2,3,3,2,22,4,16710857.529064996
3145,5,3,1,2,15,3,19403611.490102522
2700,2,3,2,1,7,10,19596453.03117169
2564,1,2,1,2,2,1,13854332.422018105
636,2,1,3,0,11,2,5219823.337625785
1642,5,2,3,0,3,6,14329028.010137571
2832,4,1,1,1,5,7,19696982.660122797
750,5,3,3,1,1,2,8246079.612207868
3313,3,1,2,3,11,6,20015398.813467372
3780,2,4,1,2,2,2,22694050.962766282
2909,2,4,3,2,21,9,20398979.978769768
3880,3,4,2,1,29,1,22462932.734734144
2207,4,1,2,2,6,9,17382824.83144607
3630,3,4,3,3,21,3,21905941.440991025
1362,5,4,2,1,20,10,13710009.65148542
1873,2,2,2,0,21,8,13018757.063959377
3370,1,4,2,3,13,7,20757733.21788079
2324,5,2,1,0,5,6,16442136.410795063
806,2,1,1,0,11,7,7529354.127888495
2919,3,1,1,1,8,6,18478493.38703582
3547,4,3,2,1,1,9,25801156.068080496
3411,2,4,3,3,4,10,24267662.144445956
3317,5,4,2,2,27,4,22286332.31378742
2399,1,4,3,2,4,2,16137767.760973174
3119,5,1,3,0,10,3,20008737.904406108
3993,2,4,3,1,2,3,24687342.400936577
2628,2,4,1,3,14,10,18798873.817244448
1423,2,2,3,3,15,3,11455407.97263438
1648,3,4,1,3,12,10,15064002.902107053
3658,1,4,1,0,28,5,21284734.86799317
2812,2,2,3,3,17,8,20103155.657770693
1910,3,1,2,2,22,4,12298065.33224946
3201,4,1,3,2,26,1,18529217.190113626
3932,5,2,1,0,5,3,24733161.068972006
2443,5,4,3,3,20,4,16615637.573747166
3568,3,1,3,2,1,4,22674210.615533043
932,2,3,1,1,0,4,8447141.163561078
3624,1,1,2,3,23,2,19547506.732677575
3686,4,4,3,0,2,9,25733565.90610978
2459,4,4,2,0,16,8,19103497.159939587
3238,5,3,1,0,13,10,22685407.771435242
1160,4,3,1,2,7,1,9534095.573290065
1913,3,4,2,1,8,4,14773530.60862352
932,2,1,2,2,27,1,5514257.125739571
3810,2,3,1,1,10,5,22659125.43729804
555,3,3,2,2,16,3,5450290.063096937
1230,1,1,3,1,24,1,6664984.322373984
